name,href,years,imdb_description,pg_rating,imdb_genre_tags,imdb_rating,num_votes,img_thumbnail,tmdb_id,tmdb_name,original_name,original_language,origin_country,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,first_air_date,tmdb_adult_content,tmdb_poster_path,tmdb_overview,tmdb_tagline,tmdb_genres,tv_networks,tmdb_keywords,is_anime
Little House on the Prairie,/title/tt0071007/,(1974–1983),The life and adventures of the Ingalls family in the nineteenth century American Midwest.,TV-PG,"Drama, Family, Romance",7.5,24595,"https://m.media-amazon.com/images/M/MV5BMTg0NzQ4MDAtYmNlYi00OGExLWE3YjItNzEyOWI3MGE3NzRkXkEyXkFqcGdeQXVyMzU3MTc5OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",1781.0,Little House on the Prairie,Little House on the Prairie,en,['US'],78.669,7.978,783.0,1974-09-11,False,/rrOItUbzFYzsl2Wl4XJjSeubb97.jpg,"Little House on the Prairie is an American Western drama television series, starring Michael Landon, Melissa Gilbert, and Karen Grassle, about a family living on a farm in Walnut Grove, Minnesota, in the 1870s and 1880s.","Together, a pioneering family faces a crucial test of its courage and its love!","Western, Drama, Family",NBC,"period drama, family, wild west, pioneers, 19th century, early america, family life",0
Anne of Green Gables,/title/tt0088727/,(1985),"An orphan girl, sent to an elderly brother and sister by mistake, charms her new home and community with her fiery spirit and imagination.",TV-G,"Drama, Family",8.5,21548,"https://m.media-amazon.com/images/M/MV5BNjBmYjU2YjQtNjc3NS00NmMzLTk3OWUtNDM0ZDEyOGQ4ZWI0XkEyXkFqcGdeQXVyMzU3MTc5OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",5874.0,Anne of Green Gables,Anne of Green Gables,en,['CA'],12.263,9.0,21.0,1985-12-01,False,/lYi24owtKga1VDqq8m1FiOleSEY.jpg,"When Anne Shirley arrives at the Cuthberts Farm on Prince Edward Island, she is a precocious, romantic child, desperate to be loved, and highly sensitive about her red hair and homely looks. Anne moves from one mishap to another as her wild imagination and far-fetched antics combine to constantly bring trouble upon her shoulders.",,"Drama, Family",CBC Television,,0
Heartland,/title/tt1094229/,(II) (2007– ),"A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.",TV-PG,"Drama, Family",8.5,17747,"https://m.media-amazon.com/images/M/MV5BY2Q2ZjdhZGYtMmMwMS00ZWJhLTlhMjktNDU0ZDJiN2M3ZGNkXkEyXkFqcGdeQXVyMzc0ODEwMg@@._V1_UX67_CR0,0,67,98_AL_.jpg",14929.0,Heartland,Heartland,en,['CA'],82.241,8.285,521.0,2007-10-14,False,/uc2gtWczT58BiAUJWFz9P5aZmNF.jpg,"Life is hard on the Flemings' ranch in the Alberta foothills where abused or neglected horses find refuge with a kind, hard-working family. Debts abound and the bank is about to foreclose. Can they keep the ranch running?",,"Family, Drama",CBC Television,"based on novel or book, marriage, family, death of mother, wild horse, healing process, horse ranch, alberta canada, based on young adult novel, horse training",0
Jessie,/title/tt1865769/,(2011–2015),A Texan teen moves to New York City to follow her dreams and ends up as a nanny for a high-profile couple's four children.,TV-G,"Comedy, Drama, Family",6.0,16945,"https://m.media-amazon.com/images/M/MV5BMTY0MTYyNTk5M15BMl5BanBnXkFtZTgwMjE0ODYzMjE@._V1_UX67_CR0,0,67,98_AL_.jpg",38974.0,Jessie,Jessie,en,['US'],59.374,8.108,580.0,2011-09-30,False,/tspQe0FuiaUj0U1R1norNbiYTe4.jpg,"An idealistic teen from rural Texas embarks on the adventure of a lifetime when she decides to leave behind starry nights for big city lights. Thrilled to be on her own and determined not to be intimidated by New York City, she accepts a job as nanny for a high-profile couple with four kids. Helping to keep her moral compass in check are Bertram, the family's butler, and Tony, the building's 20-year-old doorman.",Who's your nanny?,"Comedy, Kids",Disney Channel,"new york city, butler, texas, nanny, foster parents, business woman, idealism, idealist, celebrity, fish out of water, director, model, doorman, adopted child, penthouse, rich kids, jessie, idealistic teen, rural texas, high-profile couple, teenager",0
Kardes Payi,/title/tt3671754/,(2014–2015),The two brothers have a plumbing company and they are trying to invent something that would make the world a better place.,TV-PG,"Comedy, Drama, Family",8.6,16692,"https://m.media-amazon.com/images/M/MV5BNDI2YThjNzAtZWZiMS00OWZkLWIwY2UtN2RjNTU5MGE1ODdkXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY98_CR1,0,67,98_AL_.jpg",61516.0,Kardeş Payı,Kardeş Payı,tr,['TR'],8.601,8.22,41.0,2014-02-13,False,/5rsZr16V6yT4jyGB0QLkXi5yC5M.jpg,The show is about two brothers and a sister. The two brothers have a plumbing company and they are trying to invent something that would make the world a better place.,,"Family, Drama, Comedy",Star TV,invention,0
Zoey 101,/title/tt0415463/,(2005–2008),"Zoey Brooks and her brother, Dustin, attend their first day at Pacific Coast Academy, a private boarding school that enrolls girls for the first time in its history.",TV-Y7,"Comedy, Drama, Family",6.1,16514,"https://m.media-amazon.com/images/M/MV5BNzMyMDM3MTY1M15BMl5BanBnXkFtZTgwMjQxNDIzMTE@._V1_UX67_CR0,0,67,98_AL_.jpg",1778.0,Zoey 101,Zoey 101,en,['US'],51.252,8.173,937.0,2005-01-09,False,/3eOM57RTccTSvqcYFhWwm9DAba8.jpg,"Zoey 101 is an American television series which originally aired on Nickelodeon from January 9, 2005 until May 2, 2008. It focuses on the lives of teenager Zoey Brooks and her friends as they attend Pacific Coast Academy, a fictional boarding school in Southern California. It was created by Dan Schneider. It was initially filmed at Pepperdine University in Malibu, California, then at stages in Valencia, California beginning in season 3. It was nominated for an ""Outstanding Children's Program"" Emmy in 2005. Zoey 101 was the most expensive production ever for Nickelodeon series, as it was shot completely on location in Malibu. It was also Nickelodeon's best performance for a series premiere in almost eight years. Despite this, many critics have made negative comments about the show, its setting, and its characters.",,"Drama, Comedy",Nickelodeon,"california, boarding school",0
H2O: Just Add Water,/title/tt0491603/,(2006–2010),Three girls become mermaids after a mysterious island transforms them and gives them special powers.,TV-PG,"Drama, Family, Fantasy",7.2,16396,"https://m.media-amazon.com/images/M/MV5BYzY5MmYxNDItOWVkZS00MzFiLTlhMDQtNzZlZjQ3YmY3YzAxXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_UX67_CR0,0,67,98_AL_.jpg",2260.0,H2O: Just Add Water,H2O: Just Add Water,en,['AU'],36.912,7.814,500.0,2006-07-07,False,/jSnemLaRSsmsinVRHDJKRb6pviW.jpg,H2O: Just Add Water revolves around three teenage girls facing everyday teen problems with an added twist: they cope with the burden of growing a giant fin and transforming into mermaids whenever they come in contact with water.,,"Drama, Family, Sci-Fi & Fantasy",Network Ten,"supernatural, mermaid, teen drama, jetix",0
I Dream of Jeannie,/title/tt0058815/,(1965–1970),A United States astronaut finds his life vastly complicated when he stumbles on to a bottle containing a female genie.,TV-G,"Comedy, Family, Fantasy",7.4,16394,"https://m.media-amazon.com/images/M/MV5BZDU1MTU0MjgtYWI3OC00NzMxLWE1MmItYjQ4NGVlODYzYjNmXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_UX67_CR0,0,67,98_AL_.jpg",1660.0,I Dream of Jeannie,I Dream of Jeannie,en,['US'],59.135,7.8,665.0,1965-09-18,False,/rJLPacKrjWUqjZrxiG8xTCMfGj.jpg,"While on a mission, American astronaut Captain Tony Nelson is forced to make an emergency landing that will forever change his life. On a deserted South Pacific island, Captain Nelson happens upon a bottle containing a beautiful two-thousand-year-old female genie named Jeannie. Rescuing her from the bottle nets Tony the requisite three wishes, and then some, when Jeannie pledges total devotion to her new ""master"".","No one keeps this impish, delightful genie bottled up","Sci-Fi & Fantasy, Comedy, Family",NBC,"jealousy, magic, time travel, wish, astronaut, genie, sitcom",0
Kenan & Kel,/title/tt0115231/,(1996–2000),Kenan and Kel: two best friends who live in Chicago are always dragged down by Kenan's get rich quick schemes while orange soda-loving buddy Kel is dragged along but tends to mess things up.,TV-G,"Comedy, Family",7.8,16116,"https://m.media-amazon.com/images/M/MV5BNTk2MzEzMmUtMGNhMC00ZGYyLTg1ZDUtZmMxNjc3MDVmZjg0XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UY98_CR2,0,67,98_AL_.jpg",1835.0,Kenan & Kel,Kenan & Kel,en,['US'],32.472,8.24,331.0,1996-08-17,False,/ftRkgMhF1CofVSLMeonh9Hjz7a4.jpg,"Set in Chicago, the show follows the kid-friendly misadventures of two high-school friends who are always scheming and dreaming. Kenan, who works at a grocery store, constantly devises crazy plans to strike it rich, while orange-soda-loving buddy Kel is always dragged along for the ride despite his track record for messing things up.",,"Family, Comedy, Kids",Nickelodeon,teen comedy,0
The Munsters,/title/tt0057773/,(1964–1966),"A family of friendly monsters have misadventures, never quite understanding why people react to them so strangely.",TV-PG,"Comedy, Family, Fantasy",7.8,15939,"https://m.media-amazon.com/images/M/MV5BMTU2NjY3MDIzMV5BMl5BanBnXkFtZTcwNzMzMjYyMQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",1712.0,The Munsters,The Munsters,en,['US'],35.963,8.001,360.0,1964-09-24,False,/4jkCx8m87aMA89X9KB9Adwgep2t.jpg,A family of friendly monsters that have misadventures all while never quite understanding why people react to them so strangely.,,"Comedy, Sci-Fi & Fantasy, Family",CBS,"monster, vampire, werewolf, family, sitcom, eccentric family",0
