imdb_href,tmdb_id,tmdb_name,original_name,original_language,origin_country,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,first_air_date,tmdb_adult_content,tmdb_poster_path,tmdb_overview,tmdb_tagline,tmdb_genres,tv_networks,tmdb_keywords
/title/tt10857160/,92783.0,She-Hulk: Attorney at Law,She-Hulk: Attorney at Law,en,['US'],135.059,6.5,1594.0,2022-08-18,False,/3qO7wycn6o0lUJf15dupMFbEBTY.jpg,"Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered hulk.",You'll like her when she's angry.,"Comedy, Sci-Fi & Fantasy",Disney+,"superhero, based on comic, breaking the fourth wall, lawyer, miniseries, super power, marvel cinematic universe (mcu), woman director, female superhero"
/title/tt0407362/,1972.0,Battlestar Galactica,Battlestar Galactica,en,"['US', 'CA', 'GB']",59.304,8.228,1268.0,2004-10-18,False,/99PJSbcO2LeM10uOGWeFihNp77j.jpg,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",So say we all!,"Sci-Fi & Fantasy, Action & Adventure, Drama",Syfy,"spacecraft, artificial intelligence, cyborg, space travel, invasion, space, alien planet, space opera, cybernetic"
/title/tt4508902/,63926.0,One-Punch Man,ワンパンマン,ja,['JP'],107.695,8.374,3025.0,2015-10-05,False,/iE3s0lG5QVdEHOEZnoAxjmMtvne.jpg,"Saitama is a hero who only became a hero for fun. After three years of special training, though, hes become so strong that hes practically invincible. In fact, hes too strong  even his mightiest opponents are taken out with a single punch, and it turns out that being devastatingly powerful is actually kind of a bore. With his passion for being a hero lost along with his hair, yet still faced with new enemies every day, how much longer can he keep it going?",,"Action & Adventure, Animation, Comedy","TV Tokyo, TV Aichi, TV Osaka","martial arts, monster, cyborg, superhero, supernatural, karate, parody, social commentary, based on manga, alien invasion, fighting, super power, zero to hero, seinen, anime, ganges"
/title/tt13668894/,115036.0,The Book of Boba Fett,The Book of Boba Fett,en,['US'],94.811,7.8,2050.0,2021-12-29,False,/gNbdjDi1HamTCrfvM9JeA94bNi2.jpg,Legendary bounty hunter Boba Fett and mercenary Fennec Shand must navigate the galaxys underworld when they return to the sands of Tatooine to stake their claim on the territory once ruled by Jabba the Hutt and his crime syndicate.,Every galaxy has an underworld.,"Action & Adventure, Sci-Fi & Fantasy",Disney+,"bounty hunter, clone, mercenary, space western, desert, female mercenary"
/title/tt1486217/,10283.0,Archer,Archer,en,['US'],66.299,7.911,1007.0,2009-09-17,False,/vhnrkTGYPqcB63ALcSJm0WoaKHT.jpg,"Sterling Archer is the world's most daunting spy. He works for ISIS, a spy agency run by his mother. In between dealing with his boss and his co-workers - one of whom is his ex-girlfriend - Archer manages to annoy or seduce everyone that crosses his path. His antics are only excusable because at the end of the day, he still somehow always manages to thwart whatever crises was threatening mankind.",Solving crimes and creating them.,"Comedy, Action & Adventure, Animation","FX, FXX","cia, spy, drugs, adult animation"
/title/tt1567432/,34524.0,Teen Wolf,Teen Wolf,en,['US'],223.765,8.583,3654.0,2011-06-05,False,/vY2vfAskJTiWsQSv6bdbNCQhPLm.jpg,"Scott McCall, a high school student living in the town of Beacon Hills has his life drastically changed when he's bitten by a werewolf, becoming one himself. He must henceforth learn to balance his problematic new identity with his day-to-day teenage life. The following characters are instrumental to his struggle: Stiles, his best friend; Allison, his love interest who comes from a family of werewolf hunters; and Derek, a mysterious werewolf with a dark past. Throughout the series, he strives to keep his loved ones safe while maintaining normal relationships with them.",Watch your pack.,"Sci-Fi & Fantasy, Drama",MTV,"high school, supernatural, werewolf, creature, interspecies romance, teenager"
/title/tt0364845/,4614.0,NCIS,NCIS,en,['US'],344.355,7.623,1971.0,2003-09-23,False,/2exOHePjOTquUsbThPGhuEjYTyA.jpg,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.",,"Crime, Drama, Action & Adventure",CBS,"navy, marine corps, u.s. navy, naval officer, interrogation, ex-marine, crime lab, criminal investigation, veteran, virginia, crime investigation, special agent, police procedural"
/title/tt0118276/,95.0,Buffy the Vampire Slayer,Buffy the Vampire Slayer,en,['US'],66.148,8.189,1435.0,1997-03-10,False,/y7fVZkyheCEQHDUEHwNmYENGfT2.jpg,"Into every generation a slayer is born: one girl in all the world, a chosen one. She alone will wield the strength and skill to fight the vampires, demons, and the forces of darkness; to stop the spread of their evil and the swell of their number. She is the Slayer.",Get home before dark.,"Sci-Fi & Fantasy, Comedy, Drama, Action & Adventure","The WB, UPN","high school, monster, magic, vampire, anti hero, supernatural, chosen one, vampire hunter (slayer), female protagonist, apocalypse, fighting supernatural"
/title/tt6741278/,95557.0,Invincible,Invincible,en,['US'],51.107,8.7,3451.0,2021-03-25,False,/yDWJYRAwMNKbIYT8ZB33qy84uzO.jpg,"Mark Grayson is a normal teenager except for the fact that his father is the most powerful superhero on the planet. Shortly after his seventeenth birthday, Mark begins to develop powers of his own and enters into his fathers tutelage.",,"Animation, Sci-Fi & Fantasy, Action & Adventure, Drama",Amazon,"superhero, anti hero, gore, based on comic, adult animation, death of superhero, teen superhero"
/title/tt4179452/,63333.0,The Last Kingdom,The Last Kingdom,en,['GB'],732.673,8.3,1384.0,2015-10-10,False,/8eJf0hxgIhE6QSxbtuNCekTddy1.jpg,"A show of heroic deeds and epic battles with a thematic depth that embraces politics, religion, warfare, courage, love, loyalty and our universal search for identity. Combining real historical figures and events with fictional characters, it is the story of how a people combined their strength under one of the most iconic kings of history in order to reclaim their land for themselves and build a place they call home.",England is born,"Action & Adventure, Drama, War & Politics","Netflix, BBC Two","viking, historical fiction, king, historical drama, costume drama, saxons, 9th century"
